# a
zaklan, prid
zakopan, prid
zaležan, prid
zamolčan, prid
zaničevan, prid
zasnovan, prid
zaspan, prid
zastran, pred
zavarovan, prid
zaverovan, prid
zavojevan, prid
zavozlan, prid
zaznamovan, prid
zažgan, prid
zbran, prid
zlagan, prid
zmečkan, prid
zmehčan, prid
zrahljan, prid
zravnan, prid
žafran, sam
žrtvovan, prid
župljan, sam
žveplan, prid
čekan, sam
cigan, sam
dekan, sam
deželan, sam
evangeličan, sam
krpan, sam
meščan, sam
nepoznan, prid
nezemljan, sam
neznan, prid
občan, sam
otočan, sam
pijan, prid
podeželan, sam
poznan, prid
svečan, prid
teleban, sam
tlačan, sam
uhan, sam
vaščan, sam
zaman, pris
zemljan, sam
župan, sam
banan (banana), sam
čežan (čežana), sam
dvoran (dvorana), sam
fontan (fontana), sam
havan (havana), sam
karavan (karavana), sam
katan (katana), sam
kurtizan (kurtizana), sam
membran (membrana), sam
nakan (nakana), sam
podgan (podgana), sam
poljan (poljana), sam
ran (rana), sam
soban (sobana), sam
ukan (ukana), sam

# anem
kanem (kaniti), glag
pomanem (pometi), glag
vstanem (vstati), glag
pristanem (pristati), glag
planem (planiti), glag
znanem (znan), prid
bolanem (bolan), prid
danem (dan), prid
humanem (human), prid
nedokončanem (nedokončan), prid
nehumanem (nehuman), prid
neotesanem (neotesan), prid
neprestanem (neprestan), prid
nepričakovanem (nepričakovan), prid
neslanem (neslan), prid
neubranem (neubran), prid
postanem (postan), prid
pretkanem (pretkan), prid
profanem (profan), prid
ranem (ran), prid
razcapanem (razcapan), prid
slanem (slan), prid
spontanem (spontan), prid
svečanem (svečan), prid
urbanem (urban), prid
zaspanem (zaspan), prid
priznanem (priznan), prid
raziskanem (raziskan), prid
končanem (končan), prid
nerazvozlanem (nerazvozlan), prid
zadržanem (zadržan), prid
poškodovanem (poškodovan), prid
preoranem (preoran), prid
oblikovanem (oblikovan), prid
opranem (opran), prid
kaznovanem (kaznovan), prid

# anj
danj, sam
kolikanj, pris
manj, pris
panj, sam
banj (banja), sam
dekanj (dekanja), sam
kampanj (kampanja), sam
kanj (kanja), sam
kotanj (kotanja), sam
lazanj (lazanja), sam
lobanj (lobanja), sam
sanj (sanja), sam
špranj (špranja), sam
županj (županja), sam
zanj (on), zaim

# ano
humano, pris
neotesano, pris
neprestano, pris
nepričakovano, pris
neslano, pris
neznano, pris
pijano, pris
prerano, pris
rano, pris
simultano, pris
slano, pris
spontano, pris
svečano, pris
zaspano, pris
znano, pris
plano, sam

# ap
hlap, sam
kap, sam
slap, sam
knap, sam
krap, sam
tap, sam
trap, sam
cap (capa), sam
etap (etapa), sam
grap (grapa), sam
sap (sapa), sam
map (mapa), sam
šap (šapa), sam
šlap (šlape), sam
trap (trapa), sam

# ar
adresar, sam
aktuar, sam
ar, sam
arhivar, sam
bar, sam
barbar, sam
bazar, sam
brodar, sam
car, sam
čebelar, sam
čevljar, sam
čolnar, sam
dar, sam
denar, sam
desetar, sam
drvar, sam
glavar, sam
gospodar, sam
goslar, sam
gozdar, sam
grobar, sam
hektar, sam
honorar, sam
inventar, sam
jar, sam
ječar, sam
jeklar, sam
kalamar, sam
kipar, sam
ključar, sam
koledar, sam
kolesar, sam
kolobar, sam
komar, sam
komentar, sam
komisar, sam
konjar, sam
kotlar, sam
krčmar, sam
krmar, sam
kvar, sam
ladjar, sam
legionar, sam
lončar, sam
lopar, sam
mar, sam
mesar, sam
milijonar, sam
mornar, sam
mlekar, sam
nikar, člen
notar, sam
oltar, sam
orodjar, sam
orožar, sam
ovčar, sam
par, sam
pisar, sam
pisoar, sam
pivovar, sam
poglavar, sam
požar, sam
prostozidar, sam
redar, sam
repertoar, sam
revolucionar, sam
rezervoar, sam
rudar, sam
rovar, sam
samotar, sam
samovar, sam
sekretar, sam
seminar, sam
sirar, sam
slaščičar, sam
slikar, sam
slovar, sam
star, prid
spletkar, sam
steklar, sam
stražar, sam
stvar, sam
špar, sam
šušmar, sam
tesar, sam
tiskar, sam
tvar, sam
udar, sam
urar, sam
usnjar, sam
var, sam
veterinar, sam
vihar, sam
vinar, sam
vizionar, sam
vladar, sam
vnemar, pris
vodnar, sam
volnar, sam
vozar, sam
vratar, sam
vrtnar, sam
zidar, sam
zlatar, sam
zvonar, sam
žandar, sam
žar, sam
kar, zaim
nakar, vez
odkar, vez
čar, sam
fanfar (fanfara), sam
kitar (kitara), sam
košar (košara), sam
obar (obara), sam
okvar (okvara), sam
omar (omara), sam
prevar (prevara), sam
punčar (punčara), sam

# arja
zarja, sam
arhivarja (arhivar), sam
bazarja (bazar), sam
brodarja (brodar), sam
carja (car), sam
čebelarja (čebelar), sam
čevljarja (čevljar), sam
cirkularja (cirkular), sam
čolnarja (čolnar), sam
čuvarja (čuvar), sam
denarja (denar), sam
drvarja (drvar), sam
formularja (formular), sam
funkcionarja (funkcionar), sam
glavarja (glavar), sam
gospodarja (gospodar), sam
gozdarja (gozdar), sam
grobarja (grobar), sam
honorarja (honorar), sam
inventarja (inventar), sam
ječarja (ječar), sam
kiparja (kipar), sam
ključarja (ključar), sam
koledarja (koledar), sam
kolesarja (kolesar), sam
komarja (komar), sam
komentarja (komentar), sam
komisarja (komisar), sam
krčmarja (krčmar), sam
krmarja (krmar), sam
krošnjarja (krošnjar), sam
loparja (lopar), sam
mesarja (mesar), sam
misijonarja (misijonar), sam
mornarja (mornar), sam
notarja (notar), sam
oltarja (oltar), sam
pisarja (pisar), sam
pisoarja (pisoar), sam
redarja (redar), sam
revolucionarja (revolucionar), sam
samotarja (samotar), sam
seminarja (seminar), sam
slikarja (slikar), sam
slovarja (slovar), sam
stražarja (stražar), sam
šušmarja (šušmar), sam
tiskarja (tiskar), sam
veterinarja (veterinar), sam
viharja (vihar), sam
vladarja (vladar), sam
vizionarja (vizionar), sam
vodnarja (vodnar), sam
vratarja (vratar), sam
vrtnarja (vrtnar), sam
zlatarja (zlatar), sam
zvonarja (zvonar), sam
udarja (udarjati), glag
ukvarja (ukvarjati), glag

# as
as, sam
bas, sam
črnolas, prid
plavolas, prid
gas, sam
glas, sam
gorostas, sam
klas, sam
kodrolas, prid
kras, sam
kvas, sam
las, sam
naglas, sam
pas, sam
stas, sam
špas, sam
vas, sam
čas, sam
modras, sam
oglas, sam
okras, sam
opas, sam
razglas, sam
svojčas, sam
tačas, sam
nas (mi), zaim
vas (vi), zaim
biomas (biomasa), sam
grimas (grimasa), sam
jas (jasa), sam
klobas (klobasa), sam
mas (masa), sam
ras (rasa), sam
teras (terasa), sam
tras (trasa), sam

# aš
bogataš, sam
bombaš, sam
drugoligaš, sam
frontaš, sam
harmonikaš, sam
kljunaš, sam
mamilaš, sam
mejaš, sam
nogometaš, sam
mišmaš, sam
pajdaš, sam
plemenitaš, sam
pristaš, sam
rokometaš, sam
rovaš, sam
velikaš, sam
ziheraš, sam
baš, člen
naš, zaim
očenaš, sam
vaš, zaim
čaš (čaša), sam
flaš (flaša), sam
gamaš (gamaša), sam
kaš (kaša), sam
maš (maša), sam
paš (paša), sam
imaš (imeti), glag
igraš (igrati), glag
bebljaš (bebljati), glag
bingljaš (bingljati), glag
brkljaš (brkljati), glag
capljaš (capljati), glag
čenčaš (čenčati), glag
cingljaš (cingljati), glag
cmokaš (cmokati), glag
čofotaš (čofotati), glag
čvekaš (čvekati), glag
daš (dati), glag
divjaš (divjati), glag
drgetaš (drgetaš), glag
frfotaš (frfotaš), glag
gobcaš (gobcati), glag
gobezdaš (gobezdati), glag
godrnjaš (godrnjati), glag
izdaš (izdati), glag
izravnaš (izravnati), glag
izsesaš (izsesati), glag
klepetaš (klepetati), glag


# at
advokat, sam
agregat, sam
akrobat, sam
aparat, sam
apostat, sam
avtomat, sam
bankomat, sam
birokrat, sam
certifikat, sam
citat, sam
copat, sam
dekanat, sam
delegat, sam
demokrat, sam
derivat, sam
diplomat, sam
direktorat, sam
doktorat, sam
dolgovrat, prid
eksponat, sam
fabrikat, sam
format, sam
fotoaparat, sam
gat (gate), sam
gnjat, sam
golovrat, prid
habitat, sam
kalifat, sam
kandidat, sam
karat, sam
kavomat, sam
konzulat, sam
kvadrat, sam
laminat, sam
literat, sam
magnat, sam
mandat, sam
mat, sam
osat, sam
pagat, sam
pat, sam
patriarhat, sam
pečat, sam
pirat, sam
plagiat, sam
plakat, sam
plat, sam
predikat, sam
prekat, sam
primat, sam
proletariat, sam
referat, sam
psihopat, sam
rezultat, sam
senat, sam
sindikat, sam
sociopat, sam
soldat, sam
svojat, sam
škrlat, sam
škržat, sam
tat, sam
telepat, sam
tempomat, sam
termostat, sam
ultimat, sam
valat, sam
vrat, sam
zlat, prid
bat, sam
bogat, prid
bradat, prid
brat, sam
brkat, prid
čokat, prid
enkrat, pris
gorat, prid
Hrvat, sam
jedrnat, prid
kljunat, prid
kosmat, prid
košat, prid
krat, pris
krilat, prid
lasat, prid
mesnat, prid
možat, prid
nepovrat, sam
obrat, sam
nosat, prid
oglat, prid
plečat, prid
ploščat, prid
podolgovat, prid
podplat, sam
povrat, sam
